year,region,flood_happened
2010,Акмолинская область,0
2010,Актюбинская область,0
2010,Алматинская область,1
2010,Восточно-Казахстанская область,0
2010,Западно-Казахстанская область,0
2010,Карагандинская область,0
2010,Костанайская область,0
2010,Северо-Казахстанская область,0
2010,Туркестанская область,0
2011,Акмолинская область,0
2011,Актюбинская область,0
2011,Алматинская область,0
2011,Восточно-Казахстанская область,0
2011,Западно-Казахстанская область,1
2011,Карагандинская область,0
2011,Костанайская область,0
2011,Северо-Казахстанская область,0
2011,Туркестанская область,0
2012,Акмолинская область,0
2012,Актюбинская область,0
2012,Алматинская область,0
2012,Восточно-Казахстанская область,0
2012,Западно-Казахстанская область,0
2012,Карагандинская область,0
2012,Костанайская область,0
2012,Северо-Казахстанская область,0
2012,Туркестанская область,1
2013,Акмолинская область,0
2013,Актюбинская область,0
2013,Алматинская область,0
2013,Восточно-Казахстанская область,0
2013,Западно-Казахстанская область,0
2013,Карагандинская область,0
2013,Костанайская область,0
2013,Северо-Казахстанская область,0
2013,Туркестанская область,0
2014,Акмолинская область,0
2014,Актюбинская область,0
2014,Алматинская область,0
2014,Восточно-Казахстанская область,0
2014,Западно-Казахстанская область,0
2014,Карагандинская область,1
2014,Костанайская область,0
2014,Северо-Казахстанская область,0
2014,Туркестанская область,0
2015,Акмолинская область,0
2015,Актюбинская область,0
2015,Алматинская область,0
2015,Восточно-Казахстанская область,0
2015,Западно-Казахстанская область,0
2015,Карагандинская область,0
2015,Костанайская область,0
2015,Северо-Казахстанская область,0
2015,Туркестанская область,0
2016,Акмолинская область,0
2016,Актюбинская область,0
2016,Алматинская область,0
2016,Восточно-Казахстанская область,0
2016,Западно-Казахстанская область,0
2016,Карагандинская область,0
2016,Костанайская область,0
2016,Северо-Казахстанская область,0
2016,Туркестанская область,0
2017,Акмолинская область,1
2017,Актюбинская область,1
2017,Алматинская область,1
2017,Восточно-Казахстанская область,1
2017,Западно-Казахстанская область,0
2017,Карагандинская область,1
2017,Костанайская область,1
2017,Северо-Казахстанская область,1
2017,Туркестанская область,0
2018,Акмолинская область,0
2018,Актюбинская область,0
2018,Алматинская область,0
2018,Восточно-Казахстанская область,1
2018,Западно-Казахстанская область,0
2018,Карагандинская область,0
2018,Костанайская область,0
2018,Северо-Казахстанская область,0
2018,Туркестанская область,0
2019,Акмолинская область,0
2019,Актюбинская область,0
2019,Алматинская область,0
2019,Восточно-Казахстанская область,0
2019,Западно-Казахстанская область,0
2019,Карагандинская область,0
2019,Костанайская область,0
2019,Северо-Казахстанская область,0
2019,Туркестанская область,0
2020,Акмолинская область,0
2020,Актюбинская область,0
2020,Алматинская область,0
2020,Восточно-Казахстанская область,0
2020,Западно-Казахстанская область,0
2020,Карагандинская область,0
2020,Костанайская область,0
2020,Северо-Казахстанская область,0
2020,Туркестанская область,0
2021,Акмолинская область,0
2021,Актюбинская область,0
2021,Алматинская область,0
2021,Восточно-Казахстанская область,0
2021,Западно-Казахстанская область,0
2021,Карагандинская область,0
2021,Костанайская область,0
2021,Северо-Казахстанская область,0
2021,Туркестанская область,0
2022,Акмолинская область,0
2022,Актюбинская область,0
2022,Алматинская область,0
2022,Восточно-Казахстанская область,0
2022,Западно-Казахстанская область,0
2022,Карагандинская область,0
2022,Костанайская область,0
2022,Северо-Казахстанская область,0
2022,Туркестанская область,0
2023,Акмолинская область,0
2023,Актюбинская область,1
2023,Алматинская область,0
2023,Восточно-Казахстанская область,0
2023,Западно-Казахстанская область,0
2023,Карагандинская область,0
2023,Костанайская область,1
2023,Северо-Казахстанская область,1
2023,Туркестанская область,1
2024,Акмолинская область,1
2024,Актюбинская область,1
2024,Алматинская область,0
2024,Атырауская область,1
2024,Восточно-Казахстанская область,0
2024,Западно-Казахстанская область,1
2024,Карагандинская область,1
2024,Костанайская область,1
2024,Северо-Казахстанская область,1
2024,Туркестанская область,0